nome,endereco,telefone,whatsapp,instagram,email,categoria,tem_site,url_site,avaliacao,num_avaliacoes,cidade,bairro,link_maps
Rede de Drogarias Viva Mais,"Av. Comendador Teles, Lote 10 - Quadra 47 - Vilar dos Teles, São João de Meriti - RJ, 25561-161",21) 2657-1000,,,,farmácia,True,https://www.lojalocal.com/03829442000133,3.7,,"São João de Meriti, RJ",,
Drogarias Fernandes,"R. Dr. Celso José de Carvalho, 179 - Loja E - Jardim Meriti, São João de Meriti - RJ, 25555-652",21) 97992-8404,,,,farmácia,True,https://www.instagram.com/drogafernandes?igsh=MXRwaWlnY2t5MXR5cw%3D%3D&utm_source=qr,5.0,,"São João de Meriti, RJ",,
Droga Isa,"R. Campos n° 151 Loja - A Vila São João -Rj - Vilar dos Teles, São João de Meriti - RJ, 25576-140",21) 2752-5113,,,,farmácia,False,,4.6,,"São João de Meriti, RJ",,
Drogaria Viva Mais Éden,"Av. Dr. Délio Guaraná, 304 - Éden, São João de Meriti - RJ, 25445-100",21) 99742-8814,,,,farmácia,True,https://www.facebook.com/profile.php?id=100088558783789&locale=pt_BR,4.8,,"São João de Meriti, RJ",,
Drogarias viva mais de coelho da Rocha,"R. Eronildes Martins dos Santos, 1578 - Coelho da Rocha, São João de Meriti - RJ, 25550-000",21) 3755-4000,,,,farmácia,True,http://www.drogariasvivamais.com.br/,4.1,,"São João de Meriti, RJ",,
Drogarias Farmacêutica,"R. São João Batista, 36 - Centro, São João de Meriti - RJ, 25515-520",21) 3753-2000,,,,farmácia,False,,4.0,,"São João de Meriti, RJ",,
Drogarias Viana,"R. Cecília Vilas Bôas, 753 - Jardim Jurema, São João de Meriti - RJ, 25580-260 - Jardim Sumare, São João de Meriti - RJ, 25580-660",21) 97720-2919,,,,farmácia,False,,5.0,,"São João de Meriti, RJ",,
Drogaria Central,"R. Arnaud Guedes de Amorim, 54 - Coelho da Rocha, São João de Meriti - RJ, 25550-570",21) 2751-2545,,,,farmácia,False,,4.5,,"São João de Meriti, RJ",,
Drogaria Barão,"R. Guatemalense, 33 - Lote 18 - Quadra - Vilar dos Teles, São João de Meriti - RJ, 25555-783",21) 2786-6348,,,,farmácia,False,,4.7,,"São João de Meriti, RJ",,
Drogarias Mais Oferta,"Av. Dr. Rubéns Farrula, 196 - Vila Rosali, São João de Meriti - RJ, 25510-151",21) 3756-6000,,,,farmácia,True,https://www.drogariasmaisoferta.com.br/lojas-saojoao.html,4.7,,"São João de Meriti, RJ",,
Jimenez Odontologia,"Av. Dr. Manoel Reis, 351 - Vila Centenario, Duque de Caxias - RJ, 25025-010",21) 99476-7950,,,,dentista,True,https://www.instagram.com/jimenezodontologia_?igsh=bmVyNDFhamw2cGJo&utm_source=qr,4.9,,"São João de Meriti, RJ",,
Prórir Clínica Odontológica Coelho da Rocha - São João de Meriti,"R. Arnaud Guedes de Amorim, 156 - Coelho da Rocha, São João de Meriti - RJ, 25550-570",21) 96583-2973,,,,dentista,True,https://prorir.com.br/clinicas-prorir/sao-joao-de-meriti/,4.7,,"São João de Meriti, RJ",,
Dentistas99,"Av. Dr. Arruda Negreiros, 99 - Centro, São João de Meriti - RJ, 25520-001",21) 99667-8748,,,,dentista,False,,4.3,,"São João de Meriti, RJ",,
Campos Odontologia,"Av. Getúlio de Moura, 1715 - Agostinho Porto, São João de Meriti - RJ, 25545-320",21) 4131-0632,,,,dentista,False,,4.8,,"São João de Meriti, RJ",,
Service Odonto São João de Meriti 3,"R. Assia Tanus Bedran, 50 - Centro, São João de Meriti - RJ, 25520-560",21) 98744-2039,,,,dentista,False,,4.8,,"São João de Meriti, RJ",,
Instituto Kadosh Odontologia Integrada,"Av. Presidente Lincoln, 1368 - sala 104 - Vilar dos Teles, São João de Meriti - RJ, 25555-201",21) 98109-2577,,,,dentista,True,https://www.instagram.com/institutokadosh/,4.9,,"São João de Meriti, RJ",,
Dra. Renata Pinho - Lagoa Rio Odontologia,"Edifício Touch - R. Jardim Botânico, 568 - 202 - Jardim Botânico, Rio de Janeiro - RJ, 22461-000",21) 98419-0453,,,,dentista,True,https://www.instagram.com/lagoario_odonto/,5.0,,"São João de Meriti, RJ",,
Clínica Sorria Penha - Unidade Caxias,"Av. Nilo Peçanha, 272 - Duque de Caxias, RJ, 25010-144",21) 98799-1162,,,,dentista,True,http://www.sorriapenha.com.br/,4.9,,"São João de Meriti, RJ",,
Dr. Michell Firmiano - Cirurgião Dentista - Harmonização Facial - São João Meriti,"R. Gessyr Gonçalves Fontes, 197/208 - Centro, São João de Meriti - RJ, 25520-571",21) 98877-4117,,,,dentista,True,https://bit.ly/m/drmichell,4.9,,"São João de Meriti, RJ",,
Vamos Sorrir Odontologia,"Av. Automóvel Clube - Vilar dos Teles, São João de Meriti - RJ, 25565-171",21) 97076-0924,,,,dentista,False,,4.4,2,"São João de Meriti, RJ",,
Orallook Implantes e Próteses Dentárias - São João de Meriti,"R. São João Batista, 22 - Centro, São João de Meriti - RJ, 22270-030",21) 2756-5452,,,,dentista,True,http://www.instagram.com/orallook.sjmeriti/,5.0,,"São João de Meriti, RJ",,
Dra. Carmen Lima - Cirurgiã-dentista,"Av. Automóvel Clube, 2456 - Sala 303 - Vilar dos Teles, São João de Meriti - RJ, 25561-170",21) 2755-3025,,,,dentista,True,http://linktr.ee/dracarmeneequipe,4.9,,"São João de Meriti, RJ",,
São João Meriti - Orto Clinic,"Rua Gessyr Gonçalves Fontes, 180 LG 2, Sala 201, R. Gessyr Gonçalves Fontes, 180 - AP 201, LG 2 - Centro, São João de Meriti - RJ, 25520-570",21) 99016-5025,,,,dentista,False,,4.2,,"São João de Meriti, RJ",,
Dra Nathália baião - Odontologia & estética,"R. Egas Muniz, 22 - Sala 206 - Vilar dos Teles, São João de Meriti - RJ, 25576-271",21) 98824-6611,,,,dentista,False,,5.0,,"São João de Meriti, RJ",,
Odontologia Estética - Em busca de um sorriso perfeito.,"Av. do Comércio, 13 - Jardim Metropole, São João de Meriti - RJ, 25575-110",21) 99418-3969,,,,dentista,False,,4.6,,"São João de Meriti, RJ",,
Exata Radiologia Odontologica,"R. Antônio Teles de Menezes, 41 - Salas 211 e 212 - Centro, São João de Meriti - RJ, 25520-630",21) 3683-8944,,,,dentista,True,http://exataradiologia.com.br/,4.8,,"São João de Meriti, RJ",,
Dra Renata Pralon - Odontologia,"Av. Comendador Teles, 1894 - Vilar dos Teles, São João de Meriti - RJ, 25561-161",21) 98663-9853,,,,dentista,True,https://linkr.bio/drarenatapralon,5.0,,"São João de Meriti, RJ",,
Clínica Dentária Deneci,"Av. Presidente Lincoln, 972 - Jardim Meriti, São João de Meriti - RJ, 25555-201",21) 2751-5495,,,,dentista,False,,4.5,,"São João de Meriti, RJ",,
Ortotal Clínica Odontológica,"Galeria ao lado do cartório 2 oficio - Av. Dr. Arruda Negreiros, 245 - Centro, São João de Meriti - RJ, 25520-001",21) 2655-5728,,,,dentista,True,https://www.instagram.com/ortotal_clinica_odontologica,5.0,,"São João de Meriti, RJ",,
Consultório Dra Tanyse Rossi Pesenato,"R. da Matriz, 231 - sala 104 - Centro, São João de Meriti - RJ, 25520-640",21) 2696-5834,,,,dentista,False,,4.8,,"São João de Meriti, RJ",,
TFV Advogados Associados,"Street: - Rua Álvaro Alvim, n° 48 - Grupo 603/604 - Cinelândia, Rio de Janeiro - RJ, 20031-010",21) 3178-6879,,,,advogado,True,http://tfvadvogados.adv.br/,,,"São João de Meriti, RJ",,
"💛🖤Advogado Rio de Janeiro - M & G Advogados - Família, Criminal, INSS, Consumidor, Civil, Trabalhista.","R. S. José, 40 - andar 4 - Centro, Rio de Janeiro - RJ, 20010-020",21) 99870-2613,,,,advogado,True,https://advogadoriodejaneiro.com/,4.9,,"São João de Meriti, RJ",,
ADVOCACIA INGRID WERNECK,"R. São João, 27 - Rocha, Rio de Janeiro - RJ, 25810-040",24) 99812-5218,,,,advogado,True,https://www.canva.com/design/DAET3Hp9g7U/_3VUH1bjWqB1ue7Pv93mgw/view?utm_content=DAET3Hp9g7U&utm_campaign=designshare&utm_medium=link&utm_source=sharebutton,5.0,,"São João de Meriti, RJ",,
ADRIANA SOUZA - ADVOGADA PREVIDENCIÁRIA E CRIMINAL,"Telefone e WhatsApp - Rua Gessyr Gonçalves Fontes, 115 - sala 105 - Edifício Medical & Office - Centro, São João de Meriti - RJ, 25520-570","Telefone e WhatsApp - Rua Gessyr Gonçalves Fontes, 115 - sala 105 - Edifício Medical & Office - Centro, São João de Meriti - RJ, 25520-570",,,,advogado,True,https://adrianasouzajuridico.com.br/,4.9,,"São João de Meriti, RJ",,
Jamile Ferreira Advocacia,"Av. Cel. Raimundo Sampaio, Sn - Lote 1a, loja - Jardim Santa Rosa, São João de Meriti - RJ, 25570-393",21) 97448-4066,,,,advogado,False,,5.0,,"São João de Meriti, RJ",,
Kely Santos Advogada Trabalhista Empresarial,"Av. Automóvel Clube, 63 - sala 508 - Centro, São João de Meriti - RJ, 25515-125",21) 96987-5513,,,,advogado,False,,4.8,,"São João de Meriti, RJ",,
Anderson Veloso | Advogado,"R. José Antônio Nora, 93 - Agostinho Porto, São João de Meriti - RJ, 25545-335",21) 98854-6463,,,,advogado,True,http://www.acvelosoadvogado.com.br/,5.0,,"São João de Meriti, RJ",,
Leandro Alexandre Advogado,"R. Defensor Público Zilmar Pinaud, 50 - sala 210 - Vilar dos Teles, São João de Meriti - RJ, 25555-690",21) 98697-0008,,,,advogado,False,,5.0,,"São João de Meriti, RJ",,
Advogada Nathalia Novaes / São João de Meriti - RJ,"Avenida Presidente Lincoln, R. Estud. Galdêncio Miguel, 530 - Sala 202 - Jardim Meriti, São João de Meriti - RJ, 25555-201",21) 97040-6547,,,,advogado,False,,5.0,,"São João de Meriti, RJ",,
Souza e Matos Sociedade de Advogados,"Galeria São José - Av. Automóvel Clube, 2560 - Sobreloja 37 - Parque Cruz Alta, São João de Meriti - RJ, 25565-171",21) 97090-6997,,,,advogado,True,https://www.souzaematos.ag5agencia.site/in%C3%ADcio,5.0,,"São João de Meriti, RJ",,
OAB-Ordem dos Advogados do Brasil-Rio de Janeiro,"Esquina com a Rua Capri - R. Defensor Público Zilmar Pinaud, 235 - Vilar dos Teles, São João de Meriti - RJ, 25555-690",21) 2651-1892,,,,advogado,True,http://www.oabrj.org.br/,4.5,,"São João de Meriti, RJ",,
Lima & Dias - Advocacia,"R. Gessyr Gonçalves Fontes, 115 - Sala 502 - Centro, São João de Meriti - RJ, 25520-570",21) 96658-7077,,,,advogado,True,https://instagram.com/limaediasadv_rj?utm_medium=copy_link,5.0,,"São João de Meriti, RJ",,
Advocacia Velozo e Vianna,"Loja 3, R. Jardim Botânico, Lote 2 Qd 209 - Vila São João, São João de Meriti - RJ, 25576-140",21) 99195-4144,,,,advogado,True,https://m.facebook.com/advocaciavelozoevianna/,4.5,,"São João de Meriti, RJ",,
Júlio Corrêa Advogados e Associados,"Av. Comendador Teles, 2416 - sobreloja 23 - Vilar dos Teles, São João de Meriti - RJ, 25561-162",21) 2757-2614,,,,advogado,True,http://advjuliocorrea.com.br/,4.3,,"São João de Meriti, RJ",,
Wagner de Almeida e Advogados Associados,"Av. Comendador Teles, 2395 - Vilar dos Teles, São João de Meriti - RJ, 25561-161",,,,,advogado,False,,4.0,,"São João de Meriti, RJ",,
RP Advogados,"Rua Maria Cândida, nº 26 Lote 02, Quadra H, Loja 02 - Jardim Iris, São João de Meriti - RJ, 28580-020",21) 97452-3513,,,,advogado,False,,5.0,,"São João de Meriti, RJ",,
Maria Francisca Azeredo Mota,"Av. Dep. José da Costa França, 119 - sl.15 sobreloja - Vilar dos Teles, São João de Meriti - RJ, 25555-783",21) 98661-5146,,,,advogado,False,,5.0,,"São João de Meriti, RJ",,
LERIANES SILVA ADVOGADA,"RUA BERNARDINO TILIA 304 FDS - Coelho da Rocha, São João de Meriti - RJ, 25550-260",21) 99643-6080,,,,advogado,True,https://lerianessilvaadvocacia.escritorio-online.com/,5.0,,"São João de Meriti, RJ",,
Márcia Zagri de Barros - Advocacia,"R. Jacatirão, 182 - sala 116 - Vilar dos Teles, São João de Meriti - RJ, 25561-411",21) 97451-2884,,,,advogado,False,,5.0,,"São João de Meriti, RJ",,
Dra. Juliana Aroucha- Advogada,"Ilha do Governador - Estrada do Galeão, 2693 - sala 201 - Portuguesa, Rio de Janeiro - RJ, 21931-387",21) 97021-8323,,,,advogado,True,https://www.julianaaroucha.com/,4.9,,"São João de Meriti, RJ",,
Capitalcont Soluções em Assessoria Contábil,"R. da Matriz, N° 231 - SALA 309 - Centro, São João de Meriti - RJ, 25520-640",21) 2696-6202,,,,contador,True,https://capitalcont.com.br/,4.4,,"São João de Meriti, RJ",,
Afm Contabilidade,"Av. Automóvel Clube, 63 - sala 408 - Centro, São João de Meriti - RJ, 25515-125",21) 2655-1836,,,,contador,False,,5.0,,"São João de Meriti, RJ",,
4K Assessoria Contábil,"Av. Presidente Lincoln, 972 - sala 213 - Jardim Meriti, São João de Meriti - RJ, 25555-201",21) 2082-3020,,,,contador,False,,5.0,,"São João de Meriti, RJ",,
Branth Contabilidade,"R. Bernardino Tilia, 304 - Coelho da Rocha, São João de Meriti - RJ, 25550-260",21) 2751-1123,,,,contador,False,,5.0,,"São João de Meriti, RJ",,
Conexão Contábil Assessoria,"R. Joaquim Gomes Andrade, 67 - Coelho da Rocha, São João de Meriti - RJ, 25550-611",21) 98078-1505,,,,contador,True,https://www.instagram.com/conexaocontabilassessoria/,5.0,,"São João de Meriti, RJ",,
Crespo Contabilidade,"Av. Nossa Sra. das Graças, 666 - Centro, São João de Meriti - RJ, 25515-001",21) 96809-2478,,,,contador,True,https://crespocontabil.com.br/,5.0,,"São João de Meriti, RJ",,
Look Contabilidade,"R. Guatemalense, 224 - Parque Barão do Rio Branco, São João de Meriti - RJ, 25555-700",21) 2751-2244,,,,contador,False,,5.0,,"São João de Meriti, RJ",,
Deiane Contabilidade,"R. Francisca Dantas, 132 - Centro, São João de Meriti - RJ, 25525-030",21) 2699-0008,,,,contador,True,https://deianecontabilidade.com.br/,4.8,,"São João de Meriti, RJ",,
Lenilson Contador,"R. Farme de Amoedo, 45 - Jardim Meriti, São João de Meriti - RJ, 25555-230",21) 98297-8828,,,,contador,False,,,,"São João de Meriti, RJ",,
Contap Nova Contabilidade e Assessoria Ltda,"R. Mirza Abraham, 20 Loja - Centro, São João de Meriti - RJ, 25525-050",21) 2756-2556,,,,contador,True,https://contap.com.br/,,,"São João de Meriti, RJ",,
RJV Contabilidade,"Av. Presidente Tancredo Neves, 2711 - Éden, São João de Meriti - RJ, 25530-712",21) 3754-3278,,,,contador,True,http://www.rjvcontabilidade.com.br/,5.0,,"São João de Meriti, RJ",,
OM Contador,"Av. Presidente Lincoln, 972 - sala 108 - Vilar dos Teles, São João de Meriti - RJ, 25555-201",21) 2662-6932,,,,contador,False,,,,"São João de Meriti, RJ",,
LP Contabilidade & Previdência,"Av. Amaralina, 180 - Coelho da Rocha, São João de Meriti - RJ, 25540-300",21) 96874-2891,,,,contador,False,,,,"São João de Meriti, RJ",,
Simar Contabilidade,"R. Barra do Piraí, 25 - 101 - Vilar dos Teles, São João de Meriti - RJ, 25561-120",21) 96430-0935,,,,contador,True,https://www.simarcontabilidade.com.br/,,,"São João de Meriti, RJ",,
TRANCOSO & RODRIGUES ASSESSORIA CONTABIL LTDA,"R. da Matriz, 231 - Centro, São João de Meriti - RJ, 25515-520",21) 99660-1234,,,,contador,False,,5.0,,"São João de Meriti, RJ",,
Sigma Contabilidade,"Av. Nossa Sra. das Graças, 164 - Apt. 101 - Centro, São João de Meriti - RJ, 25550-170",21) 2756-4017,,,,contador,False,,5.0,,"São João de Meriti, RJ",,
RGM CONTABILIDADE - LTDA,"Av. Automóvel Clube, 2560 - Jardim Jose Bonifacio, São João de Meriti - RJ, 25565-172",21) 3755-0061,,,,contador,False,,5.0,,"São João de Meriti, RJ",,
Silconta Contabilidade,"Rua Jacatirao, 182, Slj 118 - Vilar dos Teles, São João de Meriti - RJ, 25561-411",21) 2651-2666,,,,contador,True,http://silcontacontabilidade.com.br/,5.0,,"São João de Meriti, RJ",,
PSR CONTÁBIL,"Av. Presidente Lincoln, 62 - Sala 201 - Jardim Meriti, São João de Meriti - RJ, 25555-091",21) 2752-1066,,,,contador,False,,5.0,,"São João de Meriti, RJ",,
DMA Contabilidade,"R. Jacatirão, 182 - Sala 130 - Vilar dos Teles, São João de Meriti - RJ, 25561-411",21) 2656-7422,,,,contador,False,,1.0,,"São João de Meriti, RJ",,
Flex Rio Imóveis,"R. Angélica Mota, 250 - Olaria, Rio de Janeiro - RJ, 21021-490",21) 99383-1450,,,,imobiliária,True,http://www.flexrioimoveis.com.br/,5.0,,"São João de Meriti, RJ",,
Almir Chaves Imobiliária e Assessoria Jurídica.,"Av. Comendador Teles, 2413 - Vilar dos Teles, São João de Meriti - RJ, 25561-161",21) 2751-3228,,,,imobiliária,True,https://www.facebook.com/almirchavesimoveis/,4.6,,"São João de Meriti, RJ",,
MR Dias Imóveis,"Av. Dr. Délio Guaraná, 213 - B - Éden, São João de Meriti - RJ, 25545-100",21) 3753-6948,,,,imobiliária,False,,5.0,,"São João de Meriti, RJ",,
LSP Empreendimentos Imobiliários,"Rod. Pres. Dutra, 5901 - Éden, São João de Meriti - RJ, 25510-000",27) 98116-8365,,,,imobiliária,False,,4.5,,"São João de Meriti, RJ",,
Fernando Bahia Corretor de Imóveis,"Av. Dr. Délio Guaraná, 380 - Éden, São João de Meriti - RJ, 25545-100",21) 97941-7863,,,,imobiliária,False,,5.0,,"São João de Meriti, RJ",,
Fator Administradora,"Av. Dr. Délio Guaraná, 215 - Éden, São João de Meriti - RJ, 25545-100",21) 2755-0222,,,,imobiliária,False,,4.1,,"São João de Meriti, RJ",,
Cartório do 2º Ofício de Justiça,"Av. Dr. Arruda Negreiros, 247 - Centro, São João de Meriti - RJ, 25520-001",21) 2756-2763,,,,imobiliária,False,,4.0,,"São João de Meriti, RJ",,
PRADA IMOBILIÁRIA,"R. da Matriz, 2955 - Coelho da Rocha, São João de Meriti - RJ, 25550-170",21) 3146-1842,,,,imobiliária,False,,4.0,,"São João de Meriti, RJ",,
Carvalho Imóveis,"Av. Pres. Kennedy, 512 - Parque Sao Judas Tadeu, São João de Meriti - RJ, 25540-411",21) 2756-0051,,,,imobiliária,False,,3.0,,"São João de Meriti, RJ",,
Contap Imóveis,"R. Mirza Abraham, 20 - Centro, São João de Meriti - RJ, 25525-050",21) 99822-6306,,,,imobiliária,False,,3.8,,"São João de Meriti, RJ",,
Boom Imobiliária,"Av. Mal. Floriano Peixoto, 2131 - Centro, Nova Iguaçu - RJ, 26210-000",21) 3959-1300,,,,imobiliária,True,https://www.boomimobiliaria.com.br/?utm_source=GMB&utm_medium=referral&utm_campaign=site_gmn,4.9,,"São João de Meriti, RJ",,
Condomínio Residencial Nova Fazenda,"Av. Pernambucana, 2011 - Vila Rosali, São João de Meriti - RJ, 25510-430",21) 99930-1295,,,,imobiliária,False,,3.3,,"São João de Meriti, RJ",,
Imobiliaria Angelo Brasil Imóveis - Compra e Venda de Casas e Apartamentos - financiamento e assessoria,"onde énio - Estr. Dr. Plírk, Estr. Dr. Plínio Casado, 4482 - Santo Antonio da Prata, Belford Roxo - RJ, 26130-622",21) 97624-9294,,,,imobiliária,True,https://angelobrasilimoveis.com.br/,4.9,,"São João de Meriti, RJ",,
Imobiliária Dias & Alves,"Av. Getúlio de Moura, 1774 - Sala 01 - Vila Tiradentes, São João de Meriti - RJ, 25545-202",21) 97556-3396,,,,imobiliária,False,,,,"São João de Meriti, RJ",,
Mello e Castro Contabilidade,"Av. Getúlio de Moura, 261 - Centro, São João de Meriti - RJ, 25520-661",21) 98301-2678,,,,imobiliária,True,http://www.melloecastro.com/,4.3,,"São João de Meriti, RJ",,
Condomínio Manhães,"R. Francisco Teixeira, 366 - Eng. Belford, São João de Meriti - RJ, 22520-470",21) 96429-5184,,,,imobiliária,True,https://wa.me/c/5521964295184,5.0,,"São João de Meriti, RJ",,
Leonidas Consultoria Imobilliária,"R. Guimarães, 134 - Vila Rosali, São João de Meriti - RJ, 25520-111",21) 2752-5301,,,,imobiliária,False,,4.8,,"São João de Meriti, RJ",,
Ícones Telhados Coloniais,"Rua Herbert, 4 - Vl São João, São João de Meriti - RJ, 25570-070",21) 7715-9113,,,,imobiliária,False,,4.1,,"São João de Meriti, RJ",,
Souza Lopes Imobiliária,"Av. Automóvel Clube, 2487 - Vilar dos Teles, São João de Meriti - RJ, 25561-170",21) 96639-1617,,,,imobiliária,False,,,,"São João de Meriti, RJ",,
Naka Corretora de Seguros,"Av. Comendador Teles, 2419 - loja 10 - Vilar dos Teles, São João de Meriti - RJ, 25561-161",21) 99734-8644,,,,imobiliária,False,,5.0,,"São João de Meriti, RJ",,
Academia Body Fitness,"R. Antônio Leite Ramalhete, 1362 - Éden, São João de Meriti - RJ, 25525-490",21) 97220-2074,,,,academia,False,,4.4,,"São João de Meriti, RJ",,
Academia lobo do vilar,"R. Venância Oliveira dos Santos, 15 - Vilar dos Teles, São João de Meriti - RJ, 25560-670",21) 96986-5904,,,,academia,False,,4.6,,"São João de Meriti, RJ",,
Strike fit,"R. Dona Clara, 38 - Lt 34 qd 47 - Jardim da Alegria, São João de Meriti - RJ, 25570-840",21) 97010-3577,,,,academia,False,,4.5,,"São João de Meriti, RJ",,
Espaco Boa Forma,"São Mateus, São João de Meriti - RJ, 25525-481",21) 99185-9057,,,,academia,False,,4.6,,"São João de Meriti, RJ",,
Academia Brother,"Av. Dr. Roberto Silveira, 487 - Agostinho Porto, São João de Meriti - RJ, 25545-120",21) 2655-6884,,,,academia,False,,4.4,,"São João de Meriti, RJ",,
Academia Alian Fitness,"R. Urânio, 41 - lt.10 qd - Parque Alian, São João de Meriti - RJ, 25550-340",21) 2651-0747,,,,academia,False,,4.9,,"São João de Meriti, RJ",,
CCL Centro de treinamento,"Av. Arthur Antônio Sendas, 3299 - Parque Analândia, São João de Meriti - RJ, 25515-420",,,,,academia,False,,4.7,,"São João de Meriti, RJ",,
Cross IAT3 Fitness,"R. Dr. Agostinho Porto, 66 - Agostinho Porto, São João de Meriti - RJ, 25510-102",21) 2650-2342,,,,academia,False,,5.0,,"São João de Meriti, RJ",,
Cross Beach,"Rua Marechal Floriano Lt12 Qd42 - Vilar dos Teles, São João de Meriti - RJ, 25580-290",21) 96445-1676,,,,academia,False,,4.9,,"São João de Meriti, RJ",,
ACADEMIA LOBO DE ÉDEN LTDA,"R. Domingos Alves de Oliveira, 147 - Éden, São João de Meriti - RJ, 25525-500",21) 96472-1090,,,,academia,False,,4.9,,"São João de Meriti, RJ",,
Academia Happy Fitness Vila,"R. Mario Alençar Santiago, 6 - Vila Tiradentes, São João de Meriti - RJ, 25545-440",21) 96681-2856,,,,academia,True,https://www.facebook.com/HappyFitnessVila/,4.7,,"São João de Meriti, RJ",,
CENTRO DE TREINAMENTO POWER FIGHT,"R. Bernardino Tilia, 113 - Coelho da Rocha, São João de Meriti - RJ, 25550-260",21) 96460-8327,,,,academia,True,https://www.facebook.com/CentrodeTreinamentoPowerFight/,4.9,,"São João de Meriti, RJ",,
Gfteam Baixada / Embaixada Jiu Jitsu,"R. Joana Kalil, 365 - Jardim Meriti, São João de Meriti - RJ, 25555-100",21) 98499-0879,,,,academia,True,http://www.gfteambxd.com.br/,4.9,,"São João de Meriti, RJ",,
Fitness Fight club,"R. Carioca - Parque Barreto, São João de Meriti - RJ, 25581-220",21) 3905-9868,,,,academia,False,,5.0,,"São João de Meriti, RJ",,
RTK - Artes Marciais,"R. São Roque, 175 - Parque Araruama, São João de Meriti - RJ, 25585-460",21) 99023-3432,,,,academia,True,https://www.instagram.com/rtk.artesmarciais?igsh=b29rNmN0dGZkemll&utm_source=qr,5.0,,"São João de Meriti, RJ",,
Academia Smart Fit - Shopping Grande Rio,"R. Maria Soares Sendas, 111 - Parque Barreto, São João de Meriti - RJ, 25575-825",,,,,academia,True,https://www.smartfit.com.br/academias/shopping-grande-rio/?utm_source=google&utm_medium=maps&utm_campaign=fbiz-SBRRJISJM02,4.5,,"São João de Meriti, RJ",,
Cross Power Vilar Dos Teles,"R. Havaiana, 34 - Jardim Meriti, São João de Meriti - RJ, 25555-721",21) 97077-9431,,,,academia,False,,4.8,,"São João de Meriti, RJ",,
Kintal da ju,"Av urânio 10 quadra 26 Parque Alian - Lar Fluminense, São João de Meriti - RJ, 25550-340",21) 97509-1410,,,,academia,False,,5.0,,"São João de Meriti, RJ",,
Academia Paiva,"Av. Automóvel Clube, 2487 - Vilar dos Teles, São João de Meriti - RJ, 25565-171",21) 2650-3099,,,,academia,False,,4.0,,"São João de Meriti, RJ",,
Academia Mister Fitness,"R. da Matriz, 3391 - Coelho da Rocha, São João de Meriti - RJ, 25550-170",21) 98272-1698,,,,academia,False,,4.6,,"São João de Meriti, RJ",,
Açaí e Lanches Abençoados da Praça,"R. São Gonçalo, 15A - quadra 22 - Vila São João, São João de Meriti - RJ, 25570-060",21) 2757-7591,,,,lanchonete,False,,4.2,,"São João de Meriti, RJ",,
Salgadinho Carioca,"R. Anhanguera, 623 - Vila Zulmira, São João de Meriti - RJ, 25545-070",21) 3756-8486,,,,lanchonete,True,https://estabelecimentos.cardapioweb.com/salgadinhocarioca,4.6,,"São João de Meriti, RJ",,
Casa do Lanche,"R. Maria Magalhães, 100 - Loja de esquina - Jardim Iris, São João de Meriti - RJ, 25576-170",21) 96650-6440,,,,lanchonete,True,https://casadolanche.menudino.com/,4.5,,"São João de Meriti, RJ",,
Muringas Lanchonete e pizzaria,"R. Araribóia, 19-500 - Vila São João, São João de Meriti - RJ, 25570-190",2651-2078,,,,lanchonete,False,,4.6,,"São João de Meriti, RJ",,
Deu Fome Lanches - Cachorro Quente Em Vilar Dos Teles,"rua da casa da cultura - R. Machado de Assis, 17 - q 64 - Vilar dos Teles, São João de Meriti - RJ, 25560-140",21) 97641-6773,,,,lanchonete,True,http://deufomevilar.com.br/,4.8,,"São João de Meriti, RJ",,
Cantinho do Sabor,"Av. João de Deus Menezes, 8 - Qd C - Venda Velha, São João de Meriti - RJ, 25565-541",21) 96597-3505,,,,lanchonete,False,,4.8,,"São João de Meriti, RJ",,
Batata do Mineiro,"Av. Presidente Lincoln, 217 - Jardim Meriti, São João de Meriti - RJ, 25555-201",21) 97988-2940,,,,lanchonete,False,,4.6,,"São João de Meriti, RJ",,
Casa do Alemão dutra São João,"Rod. Pres. Dutra, S/N - KM 6 - Jardim Meriti, São João de Meriti - RJ, 25570-720",21) 2751-1294,,,,lanchonete,True,http://www.casadoalemao.com.br/,4.5,,"São João de Meriti, RJ",,
Mega Lanches Pizzas Sucos,"R. Jorn. Geraldo Rocha, 7 - qdr 72Jardim - Jardim Meriti, São João de Meriti - RJ, 25555-221",,,,,lanchonete,False,,5.0,,"São João de Meriti, RJ",,
Casa de Lanches Shallon Adonai,"R. Carioca, 182 - lj Lt 24 - Venda Velha, São João de Meriti - RJ, 25570-440",21) 99996-5955,,,,lanchonete,True,https://instagram.com/casadelanchesshallon?igshid=NGExMmI2YTkyZg==,4.6,,"São João de Meriti, RJ",,
Expressão Dos Lanches,"R. São João Batista, 1086 - Centro, São João de Meriti - RJ, 25515-520",21) 98538-8359,,,,lanchonete,True,https://pedido.anota.ai/loja/expresso-dos-lanches,4.2,,"São João de Meriti, RJ",,
Magia do Sabor Lanches,"Av. Automóvel Clube, 1414 - Vilar dos Teles, São João de Meriti - RJ, 25561-170",21) 97884-2455,,,,lanchonete,False,,3.5,,"São João de Meriti, RJ",,
