nome,nicho,cidade,endereco,telefone,whatsapp,website,email,avaliacao,num_avaliacoes,instagram,facebook,observacao,relevancia
Nova Implanto - Clínica Odontológica,dentista,Nova Iguaçu,"R. Cel. Francisco Soares, 46 - Sala 210 - Centro, Nova Iguaçu - RJ, 26216-032, Brazil",+55 21 99865-4766,,https://www.instagram.com/novaimplanto/,mcsg210375@gmail.com,4.9,171,@novaimplanto,,Site é só Instagram | sem email,6
CLÍNICA ODONTOLÓGICA SIGMA SAÚDE,dentista,Magé,"Rua Coronel Macieira, 61 - Centro, Magé - RJ, 25900-150, Brazil",+55 21 96442-2541,,https://www.instagram.com/sigmasaudemage/,drawisllacurty@gmail.com,4.9,63,@sigmasaudemage,,Site é só Instagram | sem email,6
Dr. Luiz Marotti – Dentista em Eng. Pedreira,dentista,Japeri,"Praça Olávo Bilac, 104 - Eng. Pedreira, Japeri - RJ, 26445-010, Brazil",+55 21 98078-5066,,,rodrigomaracaja@bol.com.br,5,26,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
Centro Oral Luigi Russo,dentista,Japeri,"Av. Rui Barbosa, 23 - Cidade Sr. do Bonfim, Japeri - RJ, 26423-310, Brazil",+55 21 97716-3440,,https://www.instagram.com/inspirandosorrisos__/,thaisrusso92@gmail.com,4.9,35,@inspirandosorrisos__,,Site é só Instagram | sem email,6
CLINICA ODONTOLÓGICA MEU DENTISTA,dentista,Itaguaí,"Av. Paulo de Frontin, 26 - Centro, Itaguaí - RJ, 23815-490, Brazil",+55 21 98197-8087,,,espacocontador@gmail.com,4.6,19,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
Primor odontologia e medicina,dentista,Queimados,"Av. Dr. Pedro Jorge, 68 - Queimados, RJ, 26383-060, Brazil",+55 21 97270-7766,,,edvaldolopesdealmeida@yahoo.com.br,5,52,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
Consultório Odontológico Dra Viviane Nogueira,dentista,Queimados,"Av. Prof. Avelino Xanxão, 79 - Vila do Tinguá, Queimados - RJ, 26383-070, Brazil",+55 21 2779-8978,,,jbccontab@gmail.com,5,56,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
Sorria Rio Queimados,dentista,Queimados,"Av. Irmãos Guinle, 1127 - Centro, Queimados - RJ, 26323-130, Brazil",+55 21 2665-5199,,,sorriarhdp08@gmail.com,4.5,358,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
CONSULTÓRIO ODONTOLÓGICO MISSEN,dentista,Paracambi,"Av. dos Operários, 106b - Centro, Paracambi - RJ, 26600-000, Brazil",+55 21 96776-7851,,,odontovitoriamisssen@gmail.com,5,16,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
Orlando Izolani Odontologia,dentista,Paracambi,"Shopping Estação - R. Pref. Délio Basílio Leal, 500 - Sala 116 - Centro, Paracambi - RJ, 26600-000, Brazil",+55 21 2683-3440,,,orlando.izolani@hotmail.com,4.9,18,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
Odontolages,dentista,Paracambi,"R. Bezerra de Menezes, 660 - Lages, Paracambi - RJ, 26600-000, Brazil",+55 21 2683-5274,,,drvitorbrodrigues@gmail.com,5,20,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
Clínica Sorria 360 - Lages,dentista,Paracambi,"PRAÇA DO MIRO - PC EXPEDICIONARIO NILO GAMA FLORES, 59 - Loja - Lages, Paracambi - RJ, 26600-000, Brazil",+55 21 99785-7925,,,clinicasorria360@gmail.com,5,77,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
Consultório Odontológico Juliana Teixeira,dentista,Mesquita,"R. Ambrósio, 420 - Vila Emil, Mesquita - RJ, 26580-250, Brazil",+55 21 98149-1232,,,dra.julianateixeira2812@gmail.com,5,33,,,SEM SITE - oportunidade! | sem email | sem Instagram,6
